Date,Open,High,Low,Close,Adj Close,Volume
2013-06-24,96.540001,97.709999,96.019997,97.290001,82.805321,4244500
2013-06-25,97.910004,97.989998,97.139999,97.519997,83.001060,3211300
2013-06-26,98.360001,99.139999,98.040001,98.839996,84.124527,3585500
2013-06-27,99.449997,99.820000,99.129997,99.650002,84.813950,4497100
2013-06-28,99.510002,100.110001,98.930000,99.000000,84.260742,5386400
2013-07-01,99.349998,100.300003,99.260002,99.820000,84.958641,4053500
2013-07-02,99.820000,100.500000,99.389999,99.930000,85.052277,3850500
2013-07-03,99.949997,100.559998,99.709999,100.349998,85.409737,1676300
2013-07-05,100.690002,100.839996,99.250000,99.860001,84.992683,3933900
2013-07-08,100.279999,100.500000,99.550003,99.879997,85.009689,4064300
2013-07-09,100.239998,100.370003,99.199997,99.989998,85.103317,4120100
2013-07-10,100.150002,100.360001,99.400002,99.980003,85.094810,3532400
2013-07-11,100.750000,100.959999,99.760002,100.790001,85.784233,4064100
2013-07-12,100.589996,101.809998,100.500000,101.580002,86.456619,4766800
2013-07-15,101.599998,101.730003,100.699997,100.750000,85.750183,4480700
2013-07-16,100.180000,101.120003,99.470001,100.879997,85.860825,4406200
2013-07-17,100.050003,100.349998,99.300003,100.099998,85.196938,5377400
2013-07-18,100.480003,100.769997,99.989998,100.180000,85.265045,3401600
2013-07-19,100.199997,100.410004,99.529999,100.269997,85.341644,4508300
2013-07-22,97.750000,97.930000,97.059998,97.580002,83.052124,13209600
2013-07-23,97.550003,97.720001,96.680000,96.760002,82.354218,6989300
2013-07-24,97.209999,97.400002,96.300003,96.660004,82.269112,5197900
2013-07-25,96.669998,97.589996,96.559998,97.489998,82.975525,4208100
2013-07-26,97.250000,98.080002,96.919998,98.029999,83.435143,4561600
2013-07-29,97.959999,98.029999,97.389999,97.870003,83.298950,3592500
2013-07-30,98.000000,98.540001,97.839996,98.370003,83.724525,4127400
2013-07-31,98.320000,98.540001,97.629997,98.080002,83.477684,5343000
2013-08-01,98.620003,99.239998,98.320000,99.000000,84.260742,3954600
2013-08-02,98.809998,99.199997,98.449997,99.199997,84.430939,3224300
2013-08-05,99.010002,99.440002,98.830002,99.309998,84.524567,3326400
2013-08-06,99.330002,99.400002,98.370003,98.690002,83.996887,3507200
2013-08-07,98.599998,98.989998,98.269997,98.330002,83.690491,3256400
2013-08-08,98.639999,98.989998,97.440002,98.040001,83.443642,4862300
2013-08-09,97.900002,98.400002,97.070000,97.620003,83.086174,4041800
2013-08-12,97.489998,97.800003,97.000000,97.040001,82.592529,3256800
2013-08-13,97.019997,97.099998,96.110001,96.449997,82.090378,5188300
2013-08-14,96.239998,96.370003,95.639999,96.110001,81.800980,5448700
2013-08-15,95.550003,95.910004,95.190002,95.389999,81.188179,4207500
