Date,Open,High,Low,Close,Adj Close,Volume
2018-05-23,15.200000,15.210000,14.110000,14.180000,14.055249,145937800
2018-05-24,14.340000,14.720000,14.240000,14.600000,14.471555,104952400
2018-05-25,14.610000,14.670000,14.410000,14.630000,14.501290,49698700
2018-05-29,14.480000,14.520000,14.020000,14.180000,14.055249,75654500
2018-05-30,14.140000,14.240000,14.020000,14.170000,14.045338,52208400
2018-05-31,14.100000,14.130000,13.950000,14.080000,13.956129,55456400
2018-06-01,14.100000,14.150000,13.950000,14.100000,13.975953,56769400
2018-06-04,14.130000,14.210000,13.680000,13.710000,13.589384,82063600
2018-06-05,13.710000,13.930000,13.520000,13.800000,13.678593,70448400
2018-06-06,13.820000,13.890000,13.630000,13.640000,13.520000,62145300
2018-06-07,13.630000,13.800000,13.610000,13.780000,13.658769,70982400
2018-06-08,13.780000,14.070000,13.710000,13.930000,13.807449,50244900
2018-06-11,13.990000,14.030000,13.850000,13.980000,13.857009,43601700
2018-06-12,14.030000,14.140000,13.910000,13.980000,13.857009,41519100
2018-06-13,14.020000,14.060000,13.830000,13.890000,13.767801,35499800
2018-06-14,13.870000,13.910000,13.560000,13.640000,13.520000,60671100
2018-06-15,13.510000,13.520000,13.300000,13.300000,13.300000,96180100
2018-06-18,13.210000,13.230000,13.100000,13.200000,13.200000,68340200
2018-06-19,13.060000,13.070000,12.900000,12.950000,12.950000,77874500
2018-06-20,12.760000,13.110000,12.750000,12.880000,12.880000,96425600
2018-06-21,12.810000,12.820000,12.610000,12.760000,12.760000,70692200
2018-06-22,12.760000,13.080000,12.760000,13.050000,13.050000,67947300
